gene_a,gene_b,correlation,weight
ITGBL1,DPT,0.7687992659398808,0.7687992659398808
ITGBL1,OMD,0.7893727177833985,0.7893727177833985
ITGBL1,MMP11,0.7033474561173663,0.7033474561173663
ITGBL1,SFRP4,0.7169428925736713,0.7169428925736713
ITGBL1,ASPN,0.7748595647330053,0.7748595647330053
ITGBL1,ALPK2,0.727617560193264,0.727617560193264
ITGBL1,LUM,0.8333044440613118,0.8333044440613118
ITGBL1,INHBA,0.8363875962811268,0.8363875962811268
ITGBL1,MEOX2,0.6323093640639641,0.6323093640639641
ITGBL1,PTGER3,0.6394556371878526,0.6394556371878526
ITGBL1,GJB2,0.6605079178849805,0.6605079178849805
ITGBL1,SVEP1,0.6871313839757053,0.6871313839757053
ITGBL1,NKX3-2,0.6488056871315598,0.6488056871315598
ITGBL1,CPA3,0.64463578253085,0.64463578253085
ITGBL1,PRRX1,0.7854731396438015,0.7854731396438015
ITGBL1,C5orf46,0.7274956669531667,0.7274956669531667
ITGBL1,SULF1,0.6353240265441449,0.6353240265441449
ITGBL1,ACTG2,0.6197687080287485,0.6197687080287485
ITGBL1,SCG2,0.6726351906930924,0.6726351906930924
ITGBL1,SLC35D3,0.7034761625349213,0.7034761625349213
ITGBL1,THBS2,0.837587612281343,0.837587612281343
ITGBL1,ADAM12,0.7308257443450625,0.7308257443450625
DPYSL5,COL2A1,0.6238595965215119,0.6238595965215119
DPYSL5,TUBB2B,0.6439472939616301,0.6439472939616301
ALPK2,SFRP2,0.7938813535574171,0.7938813535574171
ALPK2,EPYC,0.7256160805273324,0.7256160805273324
ALPK2,MMP13,0.7025263711124317,0.7025263711124317
ALPK2,POSTN,0.8142644711901817,0.8142644711901817
ALPK2,LRRC15,0.7909604318892961,0.7909604318892961
ALPK2,NTM,0.805772606771788,0.805772606771788
ALPK2,GREM1,0.7689506120850627,0.7689506120850627
ALPK2,CCL11,0.7095527117999815,0.7095527117999815
ALPK2,CXCL14,0.679303178846789,0.679303178846789
ALPK2,FAP,0.8675177354768147,0.8675177354768147
ALPK2,IGFL2,0.7141216968408504,0.7141216968408504
ALPK2,COL10A1,0.7513370983385527,0.7513370983385527
ALPK2,COL6A6,0.7392861970548729,0.7392861970548729
ALPK2,DIO2,0.694243877289718,0.694243877289718
ALPK2,MEGF10,0.6823708683017864,0.6823708683017864
ALPK2,DPT,0.6852313290091641,0.6852313290091641
ALPK2,OMD,0.6627472950593742,0.6627472950593742
ALPK2,MMP11,0.7731047618539677,0.7731047618539677
ALPK2,SFRP4,0.6487595027455348,0.6487595027455348
ALPK2,SEMA3D,0.6191353026690425,0.6191353026690425
ALPK2,ASPN,0.7306663022180109,0.7306663022180109
ALPK2,LUM,0.8391525282672668,0.8391525282672668
ALPK2,INHBA,0.8467535024559772,0.8467535024559772
ALPK2,MEOX2,0.6316878427559611,0.6316878427559611
ALPK2,PTGER3,0.6271079264334005,0.6271079264334005
ALPK2,GJB2,0.7144226840767924,0.7144226840767924
ALPK2,SVEP1,0.7113033157372144,0.7113033157372144
ALPK2,GRP,0.6069417312539555,0.6069417312539555
ALPK2,FMO1,0.624652634952085,0.624652634952085
ALPK2,NKX3-2,0.7263355142387089,0.7263355142387089
ALPK2,PRRX1,0.8130464575213617,0.8130464575213617
ALPK2,C5orf46,0.6986607996848182,0.6986607996848182
ALPK2,SULF1,0.6910577552037016,0.6910577552037016
ALPK2,ACTG2,0.6391360614158043,0.6391360614158043
ALPK2,SCG2,0.7181489481159777,0.7181489481159777
ALPK2,SLC35D3,0.7368474256684986,0.7368474256684986
ALPK2,THBS2,0.86531593298992,0.86531593298992
ALPK2,ADAM12,0.8345420320828096,0.8345420320828096
TPSAB1,FAP,0.6088553276287971,0.6088553276287971
TPSAB1,TPSB2,0.953116006604694,0.953116006604694
TPSAB1,CPA3,0.7853819206935687,0.7853819206935687
PITX2,FAP,0.610384113426005,0.610384113426005
POSTN,SFRP2,0.8471160790675452,0.8471160790675452
POSTN,EPYC,0.7794077731207656,0.7794077731207656
POSTN,MMP13,0.761178013574736,0.761178013574736
POSTN,LRRC15,0.832219913554595,0.832219913554595
POSTN,TSPAN8,-0.6011545462211537,0.6011545462211537
