gene,mean_c2,mean_other,log2fc,pvalue
HDGF,13.79642638316019,13.663359139214052,0.13306724394613845,0.014912847075694092
SLC25A6,13.619596585425487,13.4696098423279,0.1499867430975872,0.15663630004849896
MDK,13.111143419967767,13.369402740934738,-0.258259320966971,0.11907778361609674
GSTP1,13.655283902069797,13.571238753746028,0.08404514832376897,0.32083690899888473
RPS25,13.531039396064088,13.50536318833244,0.025676207731647693,0.8117108874843134
APLP2,13.43916931380866,13.653018942448055,-0.2138496286393945,0.014221428771616716
HNRNPC,13.707532079255083,13.664769559157888,0.04276252009719528,0.40056341558660447
CRABP2,13.142613637060817,13.096858946559136,0.04575469050168124,0.8264598587872987
H3F3B,13.733889218487189,13.535336121141643,0.19855309734554538,0.009298196241978503
KRT7,13.53989829636295,13.208798742156166,0.3310995542067836,0.02711382000027285
EIF4A1,13.661903142713376,13.5845915831835,0.07731155952987656,0.20332048402068237
RPL36,13.497503992231378,13.305934853640226,0.1915691385911522,0.10261173455479886
ANXA2,13.53814556370721,13.450033634296705,0.0881119294105055,0.35365032214208036
HSPB1,13.60393572711054,13.346289984054751,0.25764574305578947,0.01748496843159382
RPL26,13.422880324281065,13.457204528303814,-0.03432420402274872,0.7288622578599202
LDHB,13.110895720879663,13.471191102235816,-0.3602953813561527,0.005811199049916147
RPS7,13.345870563898716,13.472148864317091,-0.12627830041837562,0.24316609494380945
UBA1,13.62555432977932,13.465709520245026,0.15984480953429347,0.050872005729751195
AGRN,13.293992550811437,13.459116472748201,-0.16512392193676462,0.14265582040688704
IFI27,13.558017403660605,12.535248132242861,1.0227692714177437,1.254286150994369e-06
ARF1,13.739378821203651,13.51263634232735,0.22674247887630194,2.2229570769841255e-05
RHOA,13.678328786700407,13.546962193253403,0.1313665934470034,0.005231292057851851
HNRNPK,13.630877577161906,13.595833320272316,0.035044256889589676,0.3278671401911738
PPIB,13.558216384465329,13.45923714183543,0.09897924262989832,0.2129235499506596
PDIA3,13.504922672263705,13.504923266926651,-5.946629464403941e-07,0.9999932629239121
NME2,13.622229963756048,13.342107721964814,0.28012224179123457,0.001970741398786401
ITM2B,13.435758759081216,13.482662864018156,-0.04690410493694053,0.5869896364268035
CSDE1,13.426612651722007,13.548114721374265,-0.12150206965225863,0.06447579328379373
EIF4G1,13.474000722755855,13.521827362524164,-0.047826639768308254,0.4546700897202359
GANAB,13.487925686468765,13.540685988210376,-0.052760301741610505,0.29749036287665503
ATP5A1,13.651685186426475,13.31597034398785,0.3357148424386249,8.854215964749127e-05
EEF1D,13.412422367592567,13.251926141247779,0.16049622634478844,0.12101733549941547
RPN1,13.453892952501306,13.42942753426383,0.024465418237475944,0.6712828823558883
HSPD1,13.424281185498975,13.371535142387343,0.052746043111632446,0.4717105084789709
HSPA1A,13.089448086624497,13.07267357648991,0.016774510134586862,0.9145723099095435
PDIA6,13.367370202613307,13.380001924740242,-0.012631722126934974,0.8563195150541769
PEA15,13.408947984387625,13.278166705436842,0.13078127895078318,0.11563637056603562
UBB,13.079016019380092,12.728194607093476,0.35082141228661534,0.0667926136623345
AP2M1,13.477719728145093,13.329598695733461,0.14812103241163221,0.02603753565912901
CP,13.123480900876148,12.498965070440562,0.6245158304355858,0.002690679924706129
RPL22,13.26989543989418,13.328892222838665,-0.05899678294448485,0.4642631602096511
EEF1A1P9,13.080414965050666,13.233583698322006,-0.15316873327133962,0.1415502421442536
C4A,12.106576408066218,12.309075658318195,-0.2024992502519769,0.44467035719950576
SERPING1,13.092830154687286,13.192155215126299,-0.09932506043901235,0.42980141435547214
BST2,13.208017619692615,12.693775422911159,0.5142421967814563,0.002370027327620415
EIF3CL,13.234591079973304,13.262954257388357,-0.02836317741505212,0.7060354534197993
CLDN4,13.308655250040818,13.097597422291427,0.21105782774939108,0.047332027032856425
OAZ1,13.472682306539086,13.128279171968947,0.3444031345701397,4.3415754194668784e-05
BTF3,13.251304751480276,13.197161005795682,0.05414374568459479,0.520551646882105
PPP1CB,13.378043859988416,13.247436123737057,0.1306077362513598,0.04888559390853305
RPS3A,13.177092633794889,13.071208947934688,0.10588368586020103,0.3470353013631611
PLEC,12.96386923195166,13.092424234328359,-0.12855500237669837,0.3026023893262629
EPCAM,13.156415778204764,13.137996343919777,0.01841943428498638,0.8767853495899547
CTNNB1,13.060114380115934,13.335827959623511,-0.2757135795075776,9.823414638291113e-06
BSG,13.248409973509055,13.182809966544545,0.06560000696451063,0.3960461294766283
HNRNPU,13.22974494955821,13.300269425703473,-0.07052447614526258,0.15648809085148158
RPS13,13.181392146487152,13.110167406499189,0.0712247399879633,0.4472227996570143
SRRM2,12.961934650664045,13.244973622590617,-0.28303897192657246,0.0008506219372241475
PRDX6,13.23034770356497,13.23617461193388,-0.005826908368909756,0.9278534711101325
CNBP,13.310241319910023,13.256503346364811,0.05373797354521237,0.25764165615017454
EIF3E,13.191150513473655,13.093973056790041,0.09717745668361388,0.29560937196027265
HMGN2,13.364475952989654,13.100015905004446,0.2644600479852084,0.0003632288367308704
RPN2,13.159942466064887,13.256468872363195,-0.09652640629830778,0.09206532150833109
SEPT2,13.098591033587873,13.279770319183068,-0.1811792855951957,0.0014556654888040613
FAU,13.245780861477947,13.05811264966744,0.1876682118105073,0.03922718288488574
MAL2,13.16748657657027,12.910399255172344,0.2570873213979272,0.049891122727049646
YWHAQ,13.16101290091793,13.214846518834097,-0.05383361791616714,0.39481280278194186
GPI,13.212744976539314,13.08834527149828,0.12439970504103393,0.14095001988183903
PDIA4,13.144283073115645,13.137811532857404,0.0064715402582411485,0.9393960688299345
NDRG1,13.338593294572899,12.713191422877902,0.6254018716949972,3.319184431307721e-07
ADAR,13.310827683808562,13.157053816811231,0.1537738669973301,0.01621960195214868
MIF,13.247993581444288,12.938462191873972,0.30953138957031534,0.0027757219736005744
GPX3,12.378372246250034,11.843099494196057,0.5352727520539773,0.02855733589418172
SLC25A3,13.11983496392791,13.210560606457696,-0.09072564252978488,0.19548177643420617
GLUL,13.19128222589324,13.188588038539718,0.002694187353521116,0.9713190292523981
NAP1L1,12.923501862849122,13.233998643403284,-0.3104967805541623,5.575542204934569e-05
MYL12B,13.295347463293346,13.060098873587016,0.23524858970633034,0.00244622570633317
RPS29,13.10641790846517,12.955246940406111,0.15117096805905916,0.15906536164258644
SERF2,13.275203660582664,13.003498028437946,0.27170563214471777,0.0014859179663113667
NORAD,12.984775279952164,13.236338953660011,-0.2515636737078477,0.00024498960849799725
SLC25A5,13.331176895124838,12.963773519464166,0.3674033756606718,4.406109464929329e-05
JUP,13.1609618113964,13.100427960390295,0.0605338510061042,0.44252333002092237
NONO,13.084658349662641,13.211311677532358,-0.1266533278697164,0.017976735995416895
TPM3,13.296821034032396,13.14284585903597,0.15397517499642532,0.003701801286435374
PTMS,12.864650039564934,13.10578120439715,-0.24113116483221653,0.009110983268741598
ATN1,12.84668232334367,13.126644220912922,-0.2799618975692528,0.0009512095430521441
EIF1,13.145903063308294,13.13547453973411,0.010428523574184112,0.8665812966246108
SQSTM1,13.31622296424118,12.90013036214695,0.4160926020942295,7.792660035957458e-06
CCT3,13.225985323365046,13.122152764642177,0.10383255872286945,0.06438923860526935
EIF4B,12.946896706328932,13.169602967807432,-0.2227062614784998,0.0018713795492212785
NUMA1,12.947072706013971,13.125680502064139,-0.17860779605016752,0.045457836025565454
PRKCSH,12.863527746164058,13.12893896025681,-0.2654112140927527,0.0010504953492297836
PCBP1,13.172716949830278,13.17270525554369,1.1694286587982106e-05,0.9997647656674744
PTGES3,13.139216898865808,13.11577240086118,0.023444498004627334,0.6812599426611122
DDX5,13.175073103102411,13.090984567362746,0.08408853573966546,0.1500802180860455
GSN,12.990470264719788,12.87677689738776,0.1136933673320275,0.3446869888577553
YWHAB,13.07625849473864,13.130019566854655,-0.05376107211601422,0.340786251599013
BAT2,13.032270251382032,13.10169618344731,-0.06942593206527725,0.30841750019207625
NUCKS1,12.936835273685977,13.138997539361378,-0.2021622656754012,0.0015253737094872814
LAPTM4A,12.990064558846097,13.103520242205343,-0.1134556833592466,0.06404810196920184
LAMA5,12.53522789379248,13.062866040164275,-0.5276381463717943,8.481585703372003e-06
ELF3,13.292302588484795,12.698342787162664,0.5939598013221303,1.3631618929410158e-07
APH1A,13.152526884358611,13.047937014876638,0.10458986948197335,0.07215400417559259
ZFP36L1,12.813636416374429,13.084913687806893,-0.2712772714324636,0.0011748712583274279
ERGIC3,12.984871762880816,13.04943924704288,-0.0645674841620636,0.3727063700705652
DSP,12.86758452761063,12.922211894100077,-0.05462736648944677,0.6338690248365181
TUBB2C,12.962269904440104,12.921116552676173,0.04115335176393131,0.6412132472861323
XRCC5,12.948238183811247,13.076237532445768,-0.12799934863452123,0.01963562406599441
CLIC1,13.254867856616366,12.876516395824023,0.3783514607923433,5.723255172101333e-08
MSN,13.078622269560148,12.875429351648092,0.2031929179120553,0.020921262527358146
DDR1,13.116564035275522,12.90180431636289,0.21475971891263157,0.005084027049518044
SLC44A2,12.777504004723777,12.94976899690676,-0.17226499218298308,0.06963297510225534
S100A11,12.981276745976333,12.745881031460359,0.23539571451597396,0.0445626434391623
SEC61A1,12.972199599596081,13.069061609028681,-0.09686200943260026,0.04664930597553052
CAPNS1,13.031774703148864,12.940384259885318,0.0913904432635455,0.20804455962271248
TXNIP,12.702820918752344,12.855370206289129,-0.1525492875367842,0.2170473228461648
NEAT1,12.484924402211867,12.435955894884836,0.04896850732703051,0.7704873303403357
GNB1,12.960202775570492,13.0148243569401,-0.0546215813696076,0.38401843285510195
GRN,13.086318698671379,12.875420949527179,0.21089774914420012,0.004152769241351538
TMED10,12.878132350064975,13.027764709954173,-0.14963235988919799,0.016227575308617653
RPL34,12.888186127449949,12.78988240055662,0.09830372689332911,0.33797687698496437
EEF1B2,12.929338903674045,12.811669553869839,0.11766934980420629,0.2613665384247217
ATP5G2,12.972563166360219,12.906029336205902,0.06653383015431658,0.3761782953329543
PRDX1,13.130009685606668,12.840803055098576,0.28920663050809203,0.00010666669245049073
TMED2,12.91517334089032,12.978882539495137,-0.06370919860481727,0.3210049036827159
SERBP1,12.980898359691487,12.965403412356679,0.015494947334808273,0.7745945737764983
ITGB1,12.863988674603675,12.949137877433067,-0.08514920282939187,0.22864171884391565
SERPINH1,12.612860681131668,12.942075426911314,-0.3292147457796464,0.00018962311208716278
HNRNPA1,12.877128047132295,12.983111905570649,-0.10598385843835345,0.05261205496982461
AHCY,12.886281669587722,12.91001408123832,-0.02373241165059703,0.7636930843968344
ILF3,12.745930738240537,12.992590311203562,-0.24665957296302565,0.00018434068640649145
PUF60,12.985416200660465,12.798615265173357,0.18680093548710808,0.03676621383607212
COL6A2,11.94009913317609,12.6580787715145,-0.7179796383384094,2.751599386033749e-06
IGFBP5,11.533647015341904,12.742613219829197,-1.208966204487293,1.0449671404081926e-11
DDX17,12.94647191168908,12.965729288348854,-0.01925737665977323,0.6952492105148849
CD59,13.042524660283195,12.725619385375019,0.31690527490817644,0.0004577639851857631
TNFAIP2,12.931444396496914,12.268226048456286,0.663218348040628,1.7242064853206608e-05
TMEM59,13.05236189597183,12.756991012059677,0.2953708839121525,0.00019188523299763915
SCNN1A,12.763298955096458,12.70026926692478,0.06302968817167809,0.6073719602864176
CD47,12.914866557521593,12.732527610074875,0.18233894744671808,0.044910756563076165
UCP2,12.735361204432383,12.604409440713496,0.13095176371888684,0.2736195681024548
CTNNA1,12.893017737416228,12.902860112301434,-0.00984237488520634,0.8854980321164116
SLC34A2,12.641419187347395,12.137530447105934,0.5038887402414609,0.011327859149869815
TM4SF1,12.856014362275268,12.417163643359807,0.4388507189154609,0.00155483691746137
PTTG1IP,12.765482409446227,12.877106722914567,-0.11162431346834012,0.15302457984168308
PLXNB2,12.752092493191151,12.823905385054074,-0.07181289186292261,0.45610161785911807
TIMP1,12.582237078591481,12.608147642807758,-0.02591056421627691,0.8373800742407274
TRIM28,12.746442262590172,12.80633964655178,-0.0598973839616086,0.5123642974335628
TLN1,12.8351449366898,12.83714754196108,-0.002002605271281155,0.9798086400246351
STAT1,13.06771614814732,12.52138144628854,0.546334701858779,5.368055252289328e-07
